order_id,order_datetime,quantity,product_id,product_price,product_name
1,2019-08-03 20:25:00,2,6,0.8,Plain Papadum
1,2019-08-03 20:25:00,1,240,12.95,King Prawn Balti
1,2019-08-03 20:25:00,1,19,2.95,Garlic Naan
1,2019-08-03 20:25:00,1,36,3.95,Mushroom Rice
1,2019-08-03 20:25:00,1,111,8.95,Paneer Tikka Masala
1,2019-08-03 20:25:00,1,3,0.5,Mango Chutney
2,2019-08-03 20:17:00,1,11,2.6,Plain Naan
2,2019-08-03 20:17:00,1,36,3.95,Mushroom Rice
2,2019-08-03 20:17:00,1,55,4.95,Tandoori Chicken (1/4)
2,2019-08-03 20:17:00,1,98,7.95,Vindaloo - Lamb
2,2019-08-03 20:17:00,1,8,1.95,Chapati
2,2019-08-03 20:17:00,1,58,4.95,Lamb Tikka
2,2019-08-03 20:17:00,1,66,5.95,Saag Paneer
3,2019-08-03 20:09:00,1,54,4.95,Aloo Chaat
3,2019-08-03 20:09:00,1,68,5.95,Chicken Pakora
3,2019-08-03 20:09:00,1,169,9.95,Chicken Chilli Garlic
3,2019-08-03 20:09:00,1,170,9.95,Lamb Biryani
3,2019-08-03 20:09:00,1,13,2.95,Keema Naan
4,2019-08-03 20:01:00,1,68,5.95,Chicken Pakora
4,2019-08-03 20:01:00,1,6,0.8,Plain Papadum
4,2019-08-03 20:01:00,1,3,0.5,Mango Chutney
4,2019-08-03 20:01:00,1,4,0.5,Red Sauce
4,2019-08-03 20:01:00,1,191,9.95,Korma - Prawn
4,2019-08-03 20:01:00,1,14,2.95,Peshwari Naan
4,2019-08-03 20:01:00,1,15,2.95,Pilau Rice
5,2019-08-03 19:44:00,1,165,9.95,Chicken Balti
5,2019-08-03 19:44:00,2,34,3.95,Special Fried Rice
6,2019-08-03 19:42:00,1,103,8.95,Chicken Tikka Masala
6,2019-08-03 19:42:00,1,95,7.95,Curry - Lamb
6,2019-08-03 19:42:00,1,15,2.95,Pilau Rice
6,2019-08-03 19:42:00,1,14,2.95,Peshwari Naan
6,2019-08-03 19:42:00,1,6,0.8,Plain Papadum
7,2019-08-03 19:41:00,2,6,0.8,Plain Papadum
7,2019-08-03 19:41:00,1,38,3.95,Vegetable Rice
7,2019-08-03 19:41:00,1,203,9.95,Saag - Prawn
7,2019-08-03 19:41:00,1,136,8.95,Tandoori Chicken Masala
